Pekerjaan,Sub_Komponen,ID_Material,Material,Harga_Material_per_m3,Tarif_Pajak_Persen
Saluran/Irigasi - Pekerjaan Struktur,Pondasi Saluran,S9_batu_belah,Batu belah,690000,20
Saluran/Irigasi - Pekerjaan Struktur,Pondasi Saluran,S10_pasir,Pasir,500000,20
Saluran/Irigasi - Pekerjaan Struktur,Bedding Saluran,S11_pasir,Pasir,500000,20
Saluran/Irigasi - Pekerjaan Struktur,Bedding Saluran,S12_sirtu,Sirtu,420000,20
Saluran/Irigasi - Pekerjaan Struktur,Bedding Saluran,S13_kerikil,Kerikil,550000,20
Saluran/Irigasi - Pekerjaan Struktur,Timbunan Kembali Saluran,S14_tanah_urug,Tanah urug,300000,20
Saluran/Irigasi - Pekerjaan Struktur,Timbunan Kembali Saluran,S15_sirtu,Sirtu,420000,20
Saluran/Irigasi - Pekerjaan Struktur,Timbunan Kembali Saluran,S16_pasir,Pasir,500000,20
Saluran/Irigasi - Pekerjaan Pelindung Erosi,Pelindung Tebing Saluran,E1_batu_belah,Batu belah,690000,20
Saluran/Irigasi - Pekerjaan Pelindung Erosi,Pelindung Tebing Saluran,E2_batu_kali,Batu kali,700000,20
Saluran/Irigasi - Pekerjaan Pelindung Erosi,Pelindung Tebing Saluran,E3_kerikil,Kerikil,550000,20
},,,,,
